trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1021,False,"{'a': 0.5, 'e': 0.04653252680583543}",25,10,24.805883338632963,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 0.04639292922541793}",25,18,10.919475285761237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.5, 'e': 0.04625375043774167}",20,8,21.672498035359386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 0.046114989186428444}",25,11,24.809580450780125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 0.045976644218869156}",30,19,19.877553781766903,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.04583871428621255}",20,8,21.654929862656783,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.04570119814335391}",20,16,7.419556675489996,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1028,False,"{'a': 0.5, 'e': 0.04556409454892385}",25,14,22.641269073725955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.5, 'e': 0.04542740226527708}",20,12,14.018418387830247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.5, 'e': 0.045291120058481245}",20,12,12.271813990478247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 0.0451552466983058}",25,10,28.348772238426303,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.5, 'e': 0.04501978095821088}",25,10,16.02190525789803,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 0.04488472161533625}",20,10,22.06654277429478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.04475006745049024}",30,11,36.710207503416775,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.04461581724813877}",35,25,18.00775770509877,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 0.04448196979639435}",30,13,18.18068804350989,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1037,False,"{'a': 0.5, 'e': 0.044348523887005165}",30,20,18.872660301806683,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1038,False,"{'a': 0.5, 'e': 0.04421547831534415}",30,16,15.122853805919078,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.04408283188039812}",25,20,10.348898302583837,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 0.04395058338475692}",20,16,6.52911983996822,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1041,False,"{'a': 0.5, 'e': 0.04381873163460265}",20,9,15.692312930367878,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.5, 'e': 0.04368727543969884}",20,4,6.699903249590091,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
1043,False,"{'a': 0.5, 'e': 0.04355621361337974}",20,15,7.763407973799278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.5, 'e': 0.0434255449725396}",20,6,-25.160540145026843,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1045,False,"{'a': 0.5, 'e': 0.043295268337621984}",25,2,39.097405038570145,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.5, 'e': 0.04316538253260912}",20,0,34.098526081349746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.04303588638501129}",20,14,9.976807162131946,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.5, 'e': 0.04290677872585626}",25,14,18.113354295104088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.5, 'e': 0.042778058389678686}",25,14,21.231481432775617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
